Contraparte,Numero_Contrato,Fondo_de_inversion,ISIN,Tasa,Titulos,Precio,Monto_neto,Plazo,Fecha_operacion
BBVA,919-1-92008267,FONDO SANTANDER DE RENDIMIENTO SA DE CV SIID,MX2UCB190009,7.700000,3607484,927.61051931,3346340106.61,1,22/07/25
BBVA,919-1-40006520,FONDO SAM RENTA VARIABLE 21 SA DE CV FIRV,MX2UCB190009,7.700000,5016824,927.61051931,4653658715.9,1,22/07/25
BBVA,919-1-92008267,FONDO SANTANDER DE RENDIMIENTO SA DE CV SIID,MX0SGO0000K0,8.000000,1862983,756.8640543,1410024866.46,1,22/07/25
BBVA,919-1-92009117,FDO EMPRESARIAL OBSA SA CV SOC INV INST DE DEUDA P M,MX0SGO0000K0,8.000000,436009,756.8640543,329999539.45,1,22/07/25
BBVA,919-1-92009083,FONDO SAM DEUDA 4 SA DE CV FIID,MX0SGO0000K0,8.000000,66062,756.8640543,49999953.15,1,22/07/25
BBVA,919-1-92009646,FONDO SAM BALANCEADO 11 SA DE CV FIRV,MX0SGO0000K0,8.000000,73896,756.8640543,55929226.19,1,22/07/25
BBVA,919-1-92011584,BANK OF AMERICA FONDO ESTRATEGICO SA DE CV SIID,MX0SGO0000K0,8.000000,81800,756.8640543,61911479.61,1,22/07/25
BBVA,919-1-40025751,FONDO SAM BALANCEADO 13 SA DE CV FIRV,MX0SGO0000K0,8.000000,143733,756.8640543,108786341.15,1,22/07/25
BBVA,919-1-40010381,FONDO PATRIMONIAL MEDIO SA DE CV SIRV,MX0SGO0000K0,8.000000,228967,756.8640543,173296891.89,1,22/07/25
BBVA,919-1-92011600,FONDO SAM BALANCEADO 18 SA DE CV FIRV,MXLFGO000320,8.000000,1986,99.16573,196943.14,1,22/07/25
BBVA,919-1-92011600,FONDO SAM RENTA VARIABLE 27 SA DE CV FIRV.,MX0SGO0000K0,8.000000,22886,756.8640543,17321590.76,1,22/07/25
BBVA,919-1-40006751,FONDO SAM RENTA VARIABLE 17 SA DE CV FIRV,MX0SGO0000K0,8.000000,2948,756.8640543,2231235.24,1,22/07/25
BBVA,919-1-40004467,FONDO BP DECIDIDO SA DE CV SIRV,MX0SGO0000K0,8.000000,9635,756.8640543,7292385.17,1,22/07/25
BBVA,919-1-92011659,BANK OF AMERICA FONDO CRECIMIENTO SA DE CV SIID,MX0SGO0000K0,8.000000,12874,756.8640543,9743867.87,1,22/07/25
BBVA,919-1-40010373,FONDO SAM RENTA VARIABLE 25 SA DE CV FIRV,MX0SGO0000K0,8.000000,11449,756.8640543,8665336.58,1,22/07/25
BBVA,919-1-40010670,FONDO SAM RENTA VARIABLE 20 SA DE CV FIRV,MX0SGO0000K0,8.000000,260406,756.8640543,197091940.9,1,22/07/25
BBVA,919-1-40027914,FONDO SAM RENTA VARIABLE 11 SA DE CV FIRV,MX0SGO0000K0,8.000000,89189,756.8640543,67503948.16,1,22/07/25
