Contraparte,Numero_Contrato,Tipo_valor,Emisora,Serie,Tasa,Titulos,Precio,Plazo,Monto_neto,Fecha_operacion
NACIONAL FINANCIERA S.N.C.,01060984,LF,BONDESF,271202,8.0200,2051957,99.75895734,1,204701090.83,22/07/25
NACIONAL FINANCIERA S.N.C.,01060984,M,BONOS,260903,8.0200,17685521,101.51235315,1,1795298853.39,22/07/25
NACIONAL FINANCIERA S.N.C.,01051937,LF,BONDESF,270520,8.0200,10112822,99.83979437,1,1009662068.98,22/07/25
NACIONAL FINANCIERA S.N.C.,01051937,LF,BONDESF,271202,8.0200,9927308,99.75895734,1,990337895.27,22/07/25
NACIONAL FINANCIERA S.N.C.,01060982,LF,BONDESF,280224,8.0200,1447357,99.71186759,1,144318669.54,22/07/25
NACIONAL FINANCIERA S.N.C.,01060982,LF,BONDESF,280224,8.0200,13595987,99.71186759,1,1355681255.5,22/07/25
NACIONAL FINANCIERA S.N.C.,01053182,LF,BONDESF,270617,8.0200,3621423,99.77596546,1,361330976.16,22/07/25
NACIONAL FINANCIERA S.N.C.,01053182,LF,BONDESF,270819,8.0200,6371040,100.24563641,1,638668959.39,22/07/25
NACIONAL FINANCIERA S.N.C.,01063489,2U,CBIC002,300117,7.7700,2164168,980.68227501,1,2122361197.74,22/07/25
NACIONAL FINANCIERA S.N.C.,01063489,2U,CBIC004,310116,7.7700,4610734,927.61051897,1,4276965358.57,22/07/25
NACIONAL FINANCIERA S.N.C.,01065673,2U,CBIC002,300117,7.7700,174,980.68227499,1,170638.72,22/07/25
NACIONAL FINANCIERA S.N.C.,01065673,2U,CBIC004,310116,7.7700,542,927.61051897,1,502764.9,22/07/25
